id_servicios_restaurantes,servicios_restaurantes
2Z5VL,jimmys sports bar
0RTGN,sap sap lao cafe
5KYWT,bello
CQDVJ,blue flame
I7L0B,our place   clearwater
JLDKA,pollo supremo
VU5JP,williamsburg cucina caffe e bottega
7EVLB,the whiskey
WD5OE,instead of flowers
E0SFE,capriottis sandwich shop
CF5OU,sals bodega charcuterie
JVWV5,babushkas  hyde park
4Z9CK,quickies scratch bbq
WQHIC,gaia donut
AKUN6,haircut n beyond
I3KEY,the paleta bar
UF5V2,titos latin kitchen
E9OJD,chef tony macaroni
57AC9,k dessert cafe
TZH6J,addicted to joe
7NAGI,new york new york pizza  carrollwood
GWT77,cassandras salon  day spa
HVI5Z,the one night stand
JGDY2,burrito boarder
ZF9P9,round up
64P4P,oggi  st petersburg
WWYTV,tuttorosso restaurant  pizzeria
JK4FK,buffalo wild wings
9YH9K,brits british pub and eatery
PS23D,the flattery
KHCCW,thats amore restaurant
IGGF2,christinas restaurant
TZYEW,acapulco taqueria
YTXCH,grate grills more
G1MCU,apple berries
G1I6M,benedettos ristorante italiano
0ESIA,big apple bagels
IK9WQ,los amigos restaurant
0HQX7,tates pizza
D2AHD,parkside cafe
AF310,a b c pizza house
1JY8E,marialicias mexican restaurant
5JLPZ,madison restaurant
BGR8W,vintage wine cellars
ZAOKE,crab shack
9D371,vale food co
COI1O,hiros tokyo steakhouse  sushi bar
NJO9K,the black pearl
FA7YP,chancys
FNVAY,pickle barrel deli
R3QTU,southern seafood
51PPK,auntie annes pretzels
DARAJ,nicolas donut shop
J36XC,js pizza effect
MEB4N,hernando beach tropical grille
TNMOH,fried rice king
2D4LN,taiwan express chinese restaurant
61LWW,la trattoria restaurant da gaetano
6Q40D,pholicious
OHKNL,saffron indian cuisine
WX6VL,elevage
KGFB8,jolli mons grill
64IYX,catch twenty three
4KIJD,dairy rich creamery
F1A0T,twistee treat  riverview
YC922,angelos deli cafe
WOM6D,britannia arms
WUTMI,sunrise eatery
JOAI8,toasted pheasant
NVNB7,the brass tap
RC5YB,memphis style bbq
V477K,golden bowl
ZIL7C,natural market
UHTCM,kobe japanese steakhouse  brandon
HL3CX,coffee evi
TMQSN,mama rosas pizza
YF32M,yummy house south
6VDNF,torys cafe
0PENK,fountain bistro
CLHBG,the library coffeehouse
8UPKO,blue oyster seafood  chops
W8AMH,hawkers asian street food
HZL9N,the carambola
PBPCK,ajs barber shop
J2F6U,bank  main
4LB3K,saltys gulfport
NTSGW,cazador grill
KVTEG,craftsman house gallery  cafe
TNESX,cicis pizza
3P2EK,alez haitian cuisine
AY4FD,uptown barber bar
Q193F,grannies restaurant
XMQKP,blinkers beachside
GSEJW,your pizza shop
5WNF2,starkey pizza
MTZW9,xtreme tacos food truck
XMFY0,seor tequila mexican grill
HXBCZ,thai samoot
PH1W8,the brown boxer pub  grille
ZQ0OO,sikorski deli  fish market
I76H6,hectors mexican food
O0KDM,delosas pizza  italian restaurant
NNIRA,peggy oneills irish pub  eatery
8FU4W,tomato joes pizzeria
EO52P,eleventwenty cafe bistro
XY0XQ,reo street cafe
2XD46,thai basil ii
NE1N8,ikigai sushi bowls and wraps
SNNHZ,la lechonera
XF1ZC,good fortune buffet
Q8NM2,backfin blue cafe
XTID8,zukku sushi  tampa
TCMX4,nubia philly steak  pizza
TRKK4,mickey quinns crafthouse and eatery
GSXLF,pho saigon vietnamese restaurant
GOOSD,huracan supermarket
7KCJS,rosies tavern
3K78X,sunny pizza
KIHOQ,macdill express grill
AS1IR,la casa della pasta
TGK2G,terra mar brazilian steakhouse
PNQUM,little greek
910WU,phila deli
P90MN,brew bus brewing
OY8Q9,minerva indian restaurant
SP4DK,sonic drivein
MYDYS,georgia boy bbq
6H814,zekos pizzeria
2Y7H5,sweet brewnette
SSKH5,stews house of bagels
IJ3ZW,el paso mexican restaurant
JO5HA,the blue bistro at the tampa westshore marriott
Y6NBU,besa grill
855QR,odis mediterranean kitchen
VCSPA,la cote basque french restaurant
D9PVR,panda express
DLTHN,push ultra lounge
TNUNY,santa fe mexican grill
BQJFV,cafe liberty coffee  bistro
R0XMI,bodega
M8M9C,flanagans irish pub
EATQU,zen bistro grill  sushi
DK1SJ,papa murphys
147DH,west tampa sandwich shop
VBN9M,cappys pizza
