id_trasporte,trasporte,direccion,id_condado,condado,codigo_postal_condado,latitud_condado,longitud_condado,id_ciudad,ciudad,codigo_postal_ciudad,latitud_ciudad,longitud_ciudad,estado,atributos,categorias,puntuacion_usuarios,numero_de_reviews,analisis_sentimientos,anio
7K28N,ONS RENT-A-CAR,1973 17th St,WEC5,Sarasota,"34231, 34236, 34243",27.1995986,-82.345189,SYJL,Sarasota,34234,27.3525981,-82.5311147,Florida,,,,,neutral,2024
E7V5B,Payless Car Rental,2400 Yankee Clipper Dr,IgGD,Duval,"32202, 32210, 32246",30.3500511,-81.6035062,LMW4,Jacksonville,32218,30.493497,-81.680195,Florida,,,,,neutral,2024
E7V5B,Payless Car Rental,2400 Yankee Clipper Dr,IgGD,Duval,"32202, 32210, 32246",30.3500511,-81.6035062,LMW4,Jacksonville,32218,30.493497,-81.680195,Florida,,,,,negativo,2024
E7V5B,Payless Car Rental,2400 Yankee Clipper Dr,IgGD,Duval,"32202, 32210, 32246",30.3500511,-81.6035062,LMW4,Jacksonville,32218,30.493497,-81.680195,Florida,,,,,positivo,2024
ABH5A,Bike America,1853 N University Dr,hLQw,Broward,"33004, 33301, 33324",26.190096,-80.365865,EYG3,Coral Springs,33071,26.2538845,-80.2518282,Florida,,,,,positivo,2024
U8NAJ,Bike America,1853 N University Dr,hLQw,Broward,"33004, 33301, 33324",26.190096,-80.365865,EYG3,Coral Springs,33071,26.2538845,-80.2518282,Florida,,,,,negativo,2024
GXI1W,Bike America,1853 N University Dr,hLQw,Broward,"33004, 33301, 33324",26.190096,-80.365865,EYG3,Coral Springs,33071,26.2538845,-80.2518282,Florida,,,,,neutral,2024
YA2AX,Lyft Miami - Express Drive,295-A NE 167th St,D2cA,Miami-Dade,"33125, 33177, 33010",25.5516034,-80.6326916,9NMQ,North Miami Beach,33162,25.9289129,-80.1947355,Florida,,,,,positivo,2024
H4FVB,Lyft Miami - Express Drive,295-A NE 167th St,D2cA,Miami-Dade,"33125, 33177, 33010",25.5516034,-80.6326916,9NMQ,North Miami Beach,33162,25.9289129,-80.1947355,Florida,,,,,negativo,2024
OSFEA,Lyft Miami - Express Drive,295-A NE 167th St,D2cA,Miami-Dade,"33125, 33177, 33010",25.5516034,-80.6326916,9NMQ,North Miami Beach,33162,25.9289129,-80.1947355,Florida,,,,,neutral,2024
YU5UV,Road & Trail Bicycles,5113 US-98,bAiC,Polk,"33801, 33813, 33880",27.8617347,-81.6911559,UD7Y,Lakeland,33812,27.9710366,-81.88254,Florida,,,,,positivo,2024
