id_centros_tiendas_negocio,centros_tiendas_negocio,direccion,id_condado,condado,codigo_postal_condado,latitud_condado,longitud_condado,id_ciudad,ciudad,codigo_postal_ciudad,latitud_ciudad,longitud_ciudad,estado,atributos,categorias,puntuacion_usuarios,numero_de_reviews,analisis_sentimientos,anio
HVB7Y,Texaco,7148 Philips Hwy,IgGD,Duval,"32202, 32210, 32246",30.3500511,-81.6035062,LMW4,Jacksonville,32256,30.2430293,-81.5997576,Florida,,,,,neutral,2024
TDBH5,A New Look,904 W Bay Dr,e3jL,Pinellas,"33701, 33756, 33781",27.876394,-82.7778579,LIFE,Largo,33770,27.917035,-82.797592,Florida,,,,,positivo,2024
X5LU5,A New Look,904 W Bay Dr,e3jL,Pinellas,"33701, 33756, 33781",27.876394,-82.7778579,LIFE,Largo,33770,27.917035,-82.797592,Florida,,,,,negativo,2024
N38R3,A New Look,904 W Bay Dr,e3jL,Pinellas,"33701, 33756, 33781",27.876394,-82.7778579,LIFE,Largo,33770,27.917035,-82.797592,Florida,,,,,neutral,2024
QTUFB,Oasis Super Market,774 W 84th St,gBpa,Miami-Dade,"33125, 33177, 33010",25.5516034,-80.6326916,QCAZ,Hialeah,33014,25.8985172,-80.2993991,Florida,,,,,positivo,2024
5GRFR,Oasis Super Market,774 W 84th St,gBpa,Miami-Dade,"33125, 33177, 33010",25.5516034,-80.6326916,QCAZ,Hialeah,33014,25.8985172,-80.2993991,Florida,,,,,neutral,2024
APYM1,Brazil mart,18090 Collins Ave t18,jNrx,Miami-Dade,"33125, 33177, 33010",25.5516034,-80.6326916,jfBU,Sunny Isles Beach,33160,25.9432815,-80.1221998,Florida,,,,,positivo,2024
BLZQ2,Brazil mart,18090 Collins Ave t18,jNrx,Miami-Dade,"33125, 33177, 33010",25.5516034,-80.6326916,jfBU,Sunny Isles Beach,33160,25.9432815,-80.1221998,Florida,,,,,neutral,2024
RQ19T,La Vaquita,4741 SW 8th St,hHq8,Miami-Dade,"33125, 33177, 33010",25.5516034,-80.6326916,SliY,Coral Gables,33134,25.7643746,-80.2723743,Florida,,,,,positivo,2024
E5BUJ,La Vaquita,4741 SW 8th St,hHq8,Miami-Dade,"33125, 33177, 33010",25.5516034,-80.6326916,SliY,Coral Gables,33134,25.7643746,-80.2723743,Florida,,,,,neutral,2024
RP6L8,Fitlife Foods Plantation,1043 S University Dr,AL2o,Broward,"33004, 33301, 33324",26.190096,-80.365865,GY76,Plantation,33324,26.1077599,-80.252078,Florida,,,,,positivo,2024
2O4XZ,Fitlife Foods Plantation,1043 S University Dr,AL2o,Broward,"33004, 33301, 33324",26.190096,-80.365865,GY76,Plantation,33324,26.1077599,-80.252078,Florida,,,,,negativo,2024
8KMY5,Fitlife Foods Plantation,1043 S University Dr,AL2o,Broward,"33004, 33301, 33324",26.190096,-80.365865,GY76,Plantation,33324,26.1077599,-80.252078,Florida,,,,,neutral,2024
L8AXH,Bath Trends Aventura,2090 NE 163rd St,D2cA,Miami-Dade,"33125, 33177, 33010",25.5516034,-80.6326916,9NMQ,North Miami Beach,33162,25.9255363,-80.1583414,Florida,,,,,positivo,2024
TA5JX,Bath Trends Aventura,2090 NE 163rd St,D2cA,Miami-Dade,"33125, 33177, 33010",25.5516034,-80.6326916,9NMQ,North Miami Beach,33162,25.9255363,-80.1583414,Florida,,,,,neutral,2024
BBHA0,Speedway,2101 ST 60 E,Ye5b,Hillsborough,"33602, 33647, 33511",27.9903597,-82.3017728,HGEX,Valrico,33594,27.9371218,-82.2522072,Florida,,,,,positivo,2024
BBHA0,Speedway,2101 ST 60 E,2xjH,Hillsborough,"33602, 33647, 33511",27.9903597,-82.3017728,HGEX,Valrico,33594,27.9371218,-82.2522072,Florida,,,,,positivo,2024
BBHA0,Speedway,2101 ST 60 E,Ye5b,Hillsborough,"33602, 33647, 33511",27.9903597,-82.3017728,HGEX,Valrico,33594,27.9371218,-82.2522072,Florida,,,,,negativo,2024
BBHA0,Speedway,2101 ST 60 E,2xjH,Hillsborough,"33602, 33647, 33511",27.9903597,-82.3017728,HGEX,Valrico,33594,27.9371218,-82.2522072,Florida,,,,,negativo,2024
BBHA0,Speedway,2101 ST 60 E,Ye5b,Hillsborough,"33602, 33647, 33511",27.9903597,-82.3017728,HGEX,Valrico,33594,27.9371218,-82.2522072,Florida,,,,,neutral,2024
BBHA0,Speedway,2101 ST 60 E,2xjH,Hillsborough,"33602, 33647, 33511",27.9903597,-82.3017728,HGEX,Valrico,33594,27.9371218,-82.2522072,Florida,,,,,neutral,2024
X4XNB,Mo Cookies,685 W Tennessee St,6dAC,Leon,"32301, 32308, 32312",30.4906177,-84.1857115,ML39,Tallahassee,32304,30.4444401,-84.2932758,Florida,,,,,positivo,2024
LBS4N,Mo Cookies,685 W Tennessee St,6dAC,Leon,"32301, 32308, 32312",30.4906177,-84.1857115,ML39,Tallahassee,32304,30.4444401,-84.2932758,Florida,,,,,neutral,2024
T7I41,Family Dollar,716 W Corbett Ave,ol4k,Hendry,"33440, 33935",26.6105319,-81.0754657,wA92,LaBelle,33935,26.7634951,-81.445085,Florida,,,,,negativo,2024
28TNJ,Family Dollar,716 W Corbett Ave,ol4k,Hendry,"33440, 33935",26.6105319,-81.0754657,wA92,LaBelle,33935,26.7634951,-81.445085,Florida,,,,,neutral,2024
RVKTV,Family Dollar,716 W Corbett Ave,ol4k,Hendry,"33440, 33935",26.6105319,-81.0754657,wA92,LaBelle,33935,26.7634951,-81.445085,Florida,,,,,positivo,2024
XEEST,Emporio Armani Orlando The Mall Of Millenia,4200 Conroy Rd,7nl7,Orange,"32801, 32839, 32789",28.4844995,-81.2518833,O990,Orlando,32839,28.4846916,-81.43073,Florida,,,,,positivo,2024
Y4X3V,Emporio Armani Orlando The Mall Of Millenia,4200 Conroy Rd,7nl7,Orange,"32801, 32839, 32789",28.4844995,-81.2518833,O990,Orlando,32839,28.4846916,-81.43073,Florida,,,,,negativo,2024
VUH8Q,Emporio Armani Orlando The Mall Of Millenia,4200 Conroy Rd,7nl7,Orange,"32801, 32839, 32789",28.4844995,-81.2518833,O990,Orlando,32839,28.4846916,-81.43073,Florida,,,,,neutral,2024
URPM8,Antiques & Mid Century Furniture,132 E Oakland Park Blvd,Y762,Broward,"33004, 33301, 33324",26.190096,-80.365865,Pqsm,Wilton Manors,33334,26.166321,-80.143759,Florida,,,,,positivo,2024
MAO7Z,Antiques & Mid Century Furniture,132 E Oakland Park Blvd,Y762,Broward,"33004, 33301, 33324",26.190096,-80.365865,Pqsm,Wilton Manors,33334,26.166321,-80.143759,Florida,,,,,neutral,2024
RKWCY,7-Eleven,8499 S John Young Pkwy,7nl7,Orange,"32801, 32839, 32789",28.4844995,-81.2518833,O990,Orlando,32819,28.4423272,-81.4266107,Florida,,,,,negativo,2024
RKWCY,7-Eleven,8499 S John Young Pkwy,7nl7,Orange,"32801, 32839, 32789",28.4844995,-81.2518833,O990,Orlando,32819,28.4423272,-81.4266107,Florida,,,,,positivo,2024
RKWCY,7-Eleven,8499 S John Young Pkwy,7nl7,Orange,"32801, 32839, 32789",28.4844995,-81.2518833,O990,Orlando,32819,28.4423272,-81.4266107,Florida,,,,,neutral,2024
RKWCY,7-Eleven,1011 E County Rd 540A,bAiC,Polk,"33801, 33813, 33880",27.8617347,-81.6911559,UD7Y,Lakeland,33813,27.9525886,-81.9480726,Florida,,,,,positivo,2024
RKWCY,7-Eleven,1011 E County Rd 540A,bAiC,Polk,"33801, 33813, 33880",27.8617347,-81.6911559,UD7Y,Lakeland,33813,27.9525886,-81.9480726,Florida,,,,,neutral,2024
RKWCY,7-Eleven,4895 N Toledo Blade Blvd,5brW,Sarasota,"34231, 34236, 34243",27.1995986,-82.345189,GK83,North Port,34286,27.0933466,-82.1563839,Florida,,,,,positivo,2024
RKWCY,7-Eleven,4895 N Toledo Blade Blvd,5brW,Sarasota,"34231, 34236, 34243",27.1995986,-82.345189,GK83,North Port,34286,27.0933466,-82.1563839,Florida,,,,,negativo,2024
RKWCY,7-Eleven,4895 N Toledo Blade Blvd,5brW,Sarasota,"34231, 34236, 34243",27.1995986,-82.345189,GK83,North Port,34286,27.0933466,-82.1563839,Florida,,,,,neutral,2024
SC6YB,Relax The Back,2200 Glades Rd Ste 101,TlCr,Palm Beach,"33401, 33411, 33480",26.6514503,-80.2767327,WDMXZM,Boca Raton,33431,26.3676809,-80.1260381,Florida,,,,,positivo,2024
Z9KL2,Relax The Back,2200 Glades Rd Ste 101,TlCr,Palm Beach,"33401, 33411, 33480",26.6514503,-80.2767327,WDMXZM,Boca Raton,33431,26.3676809,-80.1260381,Florida,,,,,neutral,2024
NVWBX,Relax The Back,2200 Glades Rd Ste 101,TlCr,Palm Beach,"33401, 33411, 33480",26.6514503,-80.2767327,WDMXZM,Boca Raton,33431,26.3676809,-80.1260381,Florida,,,,,negativo,2024
XRHMQ,CVS,1806 S Ridgewood Ave,2h1b,Volusia,"32114, 32127, 32725",29.0279842,-81.0754657,C0EC,Edgewater,32132,28.9729779,-80.8968098,Florida,,,,,positivo,2024
61SHM,CVS,1806 S Ridgewood Ave,2h1b,Volusia,"32114, 32127, 32725",29.0279842,-81.0754657,C0EC,Edgewater,32132,28.9729779,-80.8968098,Florida,,,,,negativo,2024
HK3JJ,CVS,1806 S Ridgewood Ave,2h1b,Volusia,"32114, 32127, 32725",29.0279842,-81.0754657,C0EC,Edgewater,32132,28.9729779,-80.8968098,Florida,,,,,neutral,2024
LZAB6,LoveLee Bakeshop,603 NE 13th St,QLkh,Broward,"33004, 33301, 33324",26.190096,-80.365865,TDGL,Fort Lauderdale,33304,26.1426631,-80.1376028,Florida,,,,,positivo,2024
GL7O0,LoveLee Bakeshop,603 NE 13th St,QLkh,Broward,"33004, 33301, 33324",26.190096,-80.365865,TDGL,Fort Lauderdale,33304,26.1426631,-80.1376028,Florida,,,,,neutral,2024
TG2U4,Cypress Food Store Inc,290 S Cypress Rd,yreP,Broward,"33004, 33301, 33324",26.190096,-80.365865,UNWO,Pompano Beach,33060,26.227386,-80.1228539,Florida,,,,,positivo,2024
3XHVP,Cypress Food Store Inc,290 S Cypress Rd,yreP,Broward,"33004, 33301, 33324",26.190096,-80.365865,UNWO,Pompano Beach,33060,26.227386,-80.1228539,Florida,,,,,neutral,2024
C1NTT,Madent Al-Taybat Roastery,4241 E Busch Blvd Suite A,W0hC,Hillsborough,"33602, 33647, 33511",27.9903597,-82.3017728,RGTW,Tampa,33617,28.0323673,-82.4103872,Florida,,,,,positivo,2024
U0AKD,Madent Al-Taybat Roastery,4241 E Busch Blvd Suite A,W0hC,Hillsborough,"33602, 33647, 33511",27.9903597,-82.3017728,RGTW,Tampa,33617,28.0323673,-82.4103872,Florida,,,,,neutral,2024
8S2EF,Circle K,500 E Moody Blvd,7ZS2,Flagler,"32110, 32136, 32164",29.4086072,-81.2518833,7IG8,Bunnell,32110,29.468399,-81.2555981,Florida,,,,,negativo,2024
8S2EF,Circle K,500 E Moody Blvd,7ZS2,Flagler,"32110, 32136, 32164",29.4086072,-81.2518833,7IG8,Bunnell,32110,29.468399,-81.2555981,Florida,,,,,positivo,2024
8S2EF,Circle K,500 E Moody Blvd,7ZS2,Flagler,"32110, 32136, 32164",29.4086072,-81.2518833,7IG8,Bunnell,32110,29.468399,-81.2555981,Florida,,,,,neutral,2024
MVY2X,Buddy's Home Furnishings,3110 Cleveland Ave,rvKi,Lee,"33901, 33908, 33919",26.6630286,-81.9534815,25ZR,Fort Myers,33901,26.619032,-81.872965,Florida,,,,,positivo,2024
GOUBT,Buddy's Home Furnishings,3110 Cleveland Ave,rvKi,Lee,"33901, 33908, 33919",26.6630286,-81.9534815,25ZR,Fort Myers,33901,26.619032,-81.872965,Florida,,,,,negativo,2024
