id_nombre,nombre,nombre_normalizado
RIBI,Mmj care md medical marijuana doctor,
HL9H,Planned parenthood - east orlando health center,
6YA9,Break free pharmacy & cryotherapy,
QLQM,Kaster chiropractic and associates,
DXA0,Gentle dental of brandon,
4R8R,Dames point animal hospital,
QK93,Crovatt dentistry,
TZGD,Arsenault dermatology,
A4JA,Harmony united psychiatric care - ocala,
S04D,"Dr. william wang, dds of wang and cortes dental",
A98F,Animal medical clinic at rosemary,
NJJD,Laser skin & wellness,
PUO1,Hialeah city dental,
X43R,"Dermatology of boca: jeffrey fromowitz, md, faad",
GCRM,Azadeh salon and spa,
FU3U,A & s dental group,
WZ6A,Anchor tattoo & piercing,
3NAX,"Coral springs medical & dental: tyrone lopez davila, md; marylou paulo-francisco, dpm, catherine funes, psyd, stuart gold, psyd, phd",
9Z5W,Universal smiles dentistry - orange city,
7PBW,A smile resort cosmetic and emergency dentistry,
AH1M,American family dental,
Y42B,Garcia facial plastic surgery,
JI9O,Main street children's dentistry of palmetto bay,
EATD,Marsh orthodontics - william f marsh dds,
YLTC,Aspire health partners,
KLCX,New season treatment center,
KXHD,Blissful dental spa,
3UXO,True health hoffner,
8QZD,Lake hancock dental care,
02GE,Ascension medical group st. vincent's primary care - branan field road,
ZBN5,Orlando city health and wellness - chiropractic & massage,
Y83Y,Palm city family dentists: thomas c jones dds,
TLPI,Geric endodontics,
02MT,Jonathan waldbaum md,
MIHI,Women's care florida - lake nona,
S8NE,Mount sinai miami shores,
U5ZU,Animal medical clinic at sawgrass village,
AL63,Chapman partnership,
8GYT,Avantgarde urgent care,
76N4,Bradenton family dentistry,
Z6LG,Whitesands alcohol & drug rehab fort myers,
WV3V,Pearl pediatric dental,
K52J,Tiralosi dental & med spa,
7CFT,Broward community & family health centers,
FW3O,Pelot's rexall pharmacy,
ILDO,Ear nose & throat associates,
CZ4V,Vetco oakland animal medical center,
KTB9,Medical specialty group at poinciana,
WICF,"Natural health and wellness chiropractic, llc",
MF3C,"Grace clinic of homosassa, llc",
I3R2,Smile design dentistry,
QWDK,Dr. nicolas orta,
DTCH,Viera medfast urgent care center | walk-in clinic | emergency quick care,
NRBX,Florida veterinary clinic,
JVCO,Woodmont family dentistry,
FLHA,"Urology health solutions, inc.",
S0HH,Longwood rehabilitative services & wellness center,
B9YN,Gutierrez dentistry,
9OS7,Dental arts of palm harbor,
0Z4F,Richard thomas dds,
VSTP,Tampa general hospital-genesis,
3Q8B,Pediatric dental land,
H37M,Treasure coast urgent care,
4QHY,"Celebrity medical center: eldar baigabatov, md",
O7CM,"Frederick d. thurston d.m.d. thurston comprehensive dental center, inc.",
ZYTR,"Kenneth r. levine, dds llc",
P4UL,Publix pharmacy at riverside,
9G1F,Gms new tampa primary physicians,
W173,Preferred injury physicians of brandon,
IX0B,"Advanced medical: cprx, william stein, m.d.",
VNZD,"Advanced medical - center for pain relief, detoxification and psychiatry",
DCOP,Seaside children's dentistry,
X65B,Associates in dermatology,
MDBD,Yoder chiropractic wellness center,
0CG4,Results skincare studio,
FGKM,Premier custom pharmacy,
HISC,Towncare dental of naples,
2WKP,Boggy creek dental care,
EV6B,Exodus women's center,
291C,Pain clinic of northwest florida,
DXVV,"Renewal rehabilitation, inc.",
E5PA,"Dr. reinaldo claudio, dmd",
2V5U,Publix pharmacy at homestead shopping plaza,
TNX0,Gonzalez dental care,
7FGR,Physical therapy now pembroke pines,
BUC8,All care dental,
PWD1,Duval pharmacy 201,
4P24,Spring hill dental associates,
EJNY,Dental care at dr. phillips,
A02P,Save n care pharmacy,
N6W5,Mint dental,
BSHC,All about women ob/gyn,
0M6P,Animal emergency clinic of south florida,
E99R,Eye surgery associates,
G6CP,Pancare health,
3PE7,Advanced dermatology and cosmetic surgery - boca raton,
RRTG,Dr. karen martinez - zen smiles,
KGSD,Massage by m.e. studio,
0OWT,Paradise dermatology,
JTQ4,South tampa pediatric dentistry,
1410,Young smiles pediatric dentistry,
70R2,Coral gables dentistry,
2NCI,Florida cosmetic center,
WXE7,Fyzical west-orlando,
C5NT,Amazing you day spa,
ABML,Animal clinic of mandarin,
CMSG,Crossfit hyde park,
ZSFQ,G.r. sheumaker jr. dds,
L818,Bradenton hometown pharmacy,
9HAA,Oakland park modern dentistry,
FLEF,Skin nv - tampa medical spa & skin care clinic,
R574,Windermere medical center,
3V60,Bascom palmer eye institute at naples,
LS8L,Bird & johnson oral surgery,
08DF,Tb lashes.brows.beauty,
5ZI1,Usf health south tampa center for advanced healthcare,
R819,St. johns vein center,
16K4,Pediatric dentistry of central florida,
